authors,title,average_rating
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.0
Stephenie Meyer,"Twilight (Twilight, #1)",4.0
Harper Lee,To Kill a Mockingbird,4.0
F. Scott Fitzgerald,The Great Gatsby,4.0
John Green,The Fault in Our Stars,4.0
J.R.R. Tolkien,The Hobbit,4.0
J.D. Salinger,The Catcher in the Rye,4.0
Jane Austen,Pride and Prejudice,4.0
Khaled Hosseini,The Kite Runner,4.0
Veronica Roth,"Divergent (Divergent, #1)",4.0
"George Orwell, Erich Fromm, Celâl Üster",1984,4.0
George Orwell,Animal Farm,4.0
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.0
"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.0
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.0
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5.0
J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.0
Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.0
Alice Sebold,The Lovely Bones,4.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",5.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",5.0
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",4.0
"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5.0
William Golding,Lord of the Flies,4.0
"William Shakespeare, Robert           Jackson",Romeo and Juliet,4.0
Gillian Flynn,Gone Girl,4.0
Kathryn Stockett,The Help,4.0
John Steinbeck,Of Mice and Men,4.0
Arthur Golden,Memoirs of a Geisha,4.0
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",4.0
"Paulo Coelho, Alan R. Clarke",The Alchemist,4.0
Lois Lowry,"The Giver (The Giver, #1)",4.0
C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.0
Audrey Niffenegger,The Time Traveler's Wife,4.0
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.0
Elizabeth Gilbert,"Eat, Pray, Love",4.0
Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.0
Louisa May Alcott,"Little Women (Little Women, #1)",4.0
"Charlotte Brontë, Michael Mason",Jane Eyre,4.0
Nicholas Sparks,"The Notebook (The Notebook, #1)",4.0
Sara Gruen,Water for Elephants,4.0
Markus Zusak,The Book Thief,4.0
Stephenie Meyer,"New Moon (Twilight, #2)",4.0
Shel Silverstein,Where the Sidewalk Ends,4.0
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.0
Stephenie Meyer,"Eclipse (Twilight, #3)",4.0
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",4.0
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.0
Aldous Huxley,Brave New World,4.0
Stephenie Meyer,"Breaking Dawn (Twilight, #4)",4.0
Sue Monk Kidd,The Secret Life of Bees,4.0
"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,4.0
"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.0
Mark Haddon,The Curious Incident of the Dog in the Night-Time,4.0
Paula Hawkins,The Girl on the Train,4.0
Philip Pullman,"The Golden Compass (His Dark Materials, #1)",4.0
"Emily Brontë, Richard J. Dunn",Wuthering Heights,4.0
Jodi Picoult,My Sister's Keeper,4.0
Kurt Vonnegut Jr.,Slaughterhouse-Five,4.0
Margaret Mitchell,Gone with the Wind,4.0
Khaled Hosseini,A Thousand Splendid Suns,4.0
Stephen Chbosky,The Perks of Being a Wallflower,4.0
Veronica Roth,"Insurgent (Divergent, #2)",4.0
Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.0
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,4.0
Stephen King,The Shining (The Shining #1),4.0
Stephenie Meyer,"The Host (The Host, #1)",4.0
John Green,Looking for Alaska,4.0
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",4.0
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.0
"Louis Sachar, Louis Sachar","Holes (Holes, #1)",4.0
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",4.0
