user_id,book_id,rating
29403,102,5
36128,4663,4
37112,25,5
16114,693,4
50684,1731,4
25620,9527,4
43944,1199,3
15567,3400,4
43539,113,4
2907,5629,3
35484,20,5
30044,6302,3
9800,347,5
13328,118,3
29571,2520,4
24807,50,3
13620,3483,5
22127,593,3
28986,2348,3
20140,469,2
35681,6442,4
16179,49,5
754,1072,4
8828,5037,4
38209,4159,5
19337,4546,4
20538,119,3
7030,579,4
6193,696,4
44582,3420,4
28530,7850,5
14522,190,4
36122,3066,3
1159,9927,4
35997,3463,4
24720,142,5
13195,595,1
18380,13,4
37816,9090,3
15159,92,4
47056,49,4
28007,85,4
19220,117,2
2502,1862,3
14612,159,4
52252,675,3
15850,1127,3
51372,1137,3
20235,728,5
29861,93,5
34686,146,5
31801,6286,4
371,189,5
8332,55,3
32813,104,5
4415,3,4
33433,2106,5
1821,2661,5
22915,21,4
50477,1954,4
36018,4465,3
24165,5295,3
46941,1497,2
14140,1629,4
22761,26,4
16122,16,4
47781,4986,5
9592,635,4
19476,2687,3
7559,547,3
11745,3515,5
31473,550,5
45491,4,4
7376,75,4
8789,138,2
4127,111,5
43544,4980,5
33081,1677,4
47380,77,4
25359,6261,4
40590,576,5
26834,8530,4
3357,642,3
8179,215,4
44172,5660,3
52495,2880,3
43315,9696,4
16703,1070,5
32008,21,5
17656,229,3
47207,2707,3
36984,4704,3
29790,3147,4
30813,5878,5
3882,13,5
37429,4999,4
2033,170,3
1899,986,3
33764,1600,4
28022,1144,3
35258,136,5
52905,85,5
14240,1900,3
45488,126,5
36368,5616,4
24080,7207,4
14263,12,5
10121,3911,3
33501,78,4
19577,4218,3
46876,438,3
17958,375,3
23473,1620,3
34575,2570,4
9904,32,4
13152,806,5
2566,143,4
3808,1664,5
15112,434,3
6342,736,4
4077,244,5
28786,46,5
52499,1264,5
2006,115,4
14060,6387,5
17316,457,4
24655,58,4
18223,5735,5
13769,5896,4
31441,4008,5
39580,41,5
20535,286,3
35933,1051,4
15801,688,3
1624,487,4
15934,204,4
8513,8089,5
7546,240,2
47038,9221,2
2469,1105,2
14194,692,4
9888,597,3
15163,509,3
2289,5282,3
24956,7580,5
7744,256,4
3657,5157,4
18970,140,3
37665,607,2
4234,181,4
38954,4982,5
15674,1245,5
1776,216,5
31762,2477,3
36530,389,5
43631,2,5
10749,421,4
9996,3313,2
11850,664,4
35662,3299,4
22116,26,3
28226,1380,5
24818,40,5
26717,25,5
4366,3027,5
13622,57,4
18056,358,5
8729,17,4
7594,133,5
53127,91,5
47800,321,4
34172,397,5
26326,3258,4
4677,18,5
39486,139,4
14508,309,4
221,983,4
19656,1930,3
23452,1199,5
2633,154,5
35725,1712,5
33286,450,4
36258,3980,5
50064,297,4
39252,986,4
4403,3741,3
9943,3296,5
18822,3107,5
52021,290,3
9020,3349,4
35262,4589,4
31794,5721,2
50014,6948,1
23647,1148,3
43933,260,5
37437,3445,3
23243,824,4
15363,5093,4
47499,4938,4
24111,195,5
52122,7464,5
6797,641,5
17854,6,5
37483,180,4
38594,37,5
231,8080,3
4369,244,3
23365,146,5
46786,8487,4
11865,8610,5
11679,8671,4
30649,876,5
32367,326,5
15930,1608,3
14553,2065,3
51381,414,5
43140,18,5
6754,8,5
34759,1207,4
29531,864,3
5232,1100,4
36768,2213,3
8297,4804,5
41456,2898,4
24432,693,4
22776,6721,3
11115,39,5
3890,18,3
40314,5793,5
16123,4777,3
51763,154,5
28189,2742,3
46296,265,5
39635,1849,4
22972,129,3
25410,1015,4
1705,75,4
49780,56,5
1591,8592,4
45885,287,5
41640,1693,3
5409,1121,4
50456,2128,4
20267,181,5
10929,97,4
16903,2687,3
39661,1638,5
44105,9730,5
5891,2502,4
25310,1222,5
24229,110,5
30359,1500,4
37001,71,3
2992,8618,4
52469,8862,5
42740,4403,5
11912,20,3
49869,1243,4
52795,21,4
36147,9153,3
19356,3596,3
44318,101,5
26578,96,3
3977,67,5
49859,311,4
45342,458,4
3129,488,4
22015,544,4
28446,2084,5
45750,1362,3
23313,2077,3
16836,1332,5
33965,1097,5
31022,299,4
12997,1095,4
7545,127,4
13291,137,5
10481,7042,4
16804,1403,3
2192,635,4
38565,105,2
50757,3593,4
39513,69,3
39850,1737,5
16283,14,4
17939,156,5
22476,12,3
37316,450,4
25819,264,1
22096,435,5
9315,2453,4
43365,942,5
20924,1888,5
9242,4493,3
46754,264,5
29559,209,4
49896,3315,4
35162,1711,5
8835,1457,3
21562,5972,3
28018,256,4
38165,1758,3
36202,2984,4
45982,719,4
42503,886,5
27346,3295,3
39823,1435,5
13151,38,3
24464,5776,3
29166,18,5
24064,2245,4
5007,190,3
40468,194,4
34360,906,3
6981,333,5
34324,289,4
7400,4775,4
47189,132,4
24179,1551,5
39538,119,4
43774,199,5
46708,404,3
15157,5229,5
15846,5547,5
15251,1443,4
6533,242,5
12713,5382,4
4846,538,4
918,688,4
29167,137,4
21436,3348,4
10916,2190,4
42866,28,3
25807,773,5
50196,4572,4
45774,4556,5
34609,198,3
30543,1202,3
3699,25,5
40846,1845,3
19228,6731,3
26380,5513,5
38159,6961,5
7649,4579,2
50431,944,1
16701,55,4
5852,6390,4
45493,50,5
42083,163,4
30070,898,5
17792,58,1
22059,2901,5
14227,441,5
18895,3348,2
8738,2571,4
44319,3697,4
3098,4,5
21560,1698,5
50095,1397,4
49566,5902,4
4141,77,5
11022,59,2
49172,137,5
52279,17,5
43128,542,5
7293,10,5
18886,8467,5
7045,8724,4
41163,3,2
17539,136,5
42841,953,3
3728,36,5
1533,442,4
51949,9671,5
34682,8865,5
49582,2553,2
35314,537,3
48584,676,4
448,850,4
48513,887,4
26901,208,5
53095,2576,4
8682,4974,4
53295,4653,4
39619,9945,5
2914,1751,3
7544,5628,4
19542,25,5
4974,140,4
9651,167,4
41524,1583,5
21451,2761,1
7336,5454,4
14379,44,4
5667,97,3
28070,7283,3
6657,165,5
52994,5,3
51574,5825,5
14964,108,4
46066,16,5
5913,2002,3
33375,413,4
11949,10,4
33123,1593,5
44303,4423,5
46587,877,4
22147,1785,2
46327,875,1
43923,7925,4
23836,2796,4
23741,1344,3
15473,567,4
42877,4820,3
13701,38,4
27422,8803,3
36891,940,3
6972,8469,3
37774,289,5
14217,531,4
16595,2762,4
24754,6199,4
24742,787,5
25259,6013,5
5572,4145,4
334,2037,4
12922,267,4
44406,123,4
25689,4048,5
46225,1723,5
3126,4832,4
4249,10,4
2265,2943,4
37084,274,5
24812,116,5
53230,275,4
33149,2244,5
16937,9636,5
