user_id,rating,title
29403,5,Where the Wild Things Are
37112,5,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
16114,4,Sphere
50684,4,"The Desert Spear (Demon Cycle, #2)"
43944,3,"Y: The Last Man, Vol. 1: Unmanned"
15567,4,The End of the Affair
43539,4,Catch-22
2907,3,Paradise
35484,5,"Mockingjay (The Hunger Games, #3)"
30044,3,Lady Susan
9800,5,"Prince Caspian (Chronicles of Narnia, #2)"
13328,3,The Joy Luck Club
24807,3,Where the Sidewalk Ends
13620,5,"Emperor of Thorns (The Broken Empire, #3)"
22127,3,"A Wizard of Earthsea (Earthsea Cycle, #1)"
28986,3,Yellow Crocus
20140,2,Fantastic Beasts and Where to Find Them
35681,4,The Complete Poetry and Prose
16179,5,"New Moon (Twilight, #2)"
754,4,Heart of the Matter
8828,4,The Glass Palace
38209,5,"Plum Spooky (Stephanie Plum, #14.5)"
19337,4,"Broken (Will Trent, #4)"
20538,3,The Handmaid's Tale
7030,4,Are You My Mother?
6193,4,"The Vampire Lestat (The Vampire Chronicles, #2)"
44582,4,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)"
28530,5,The Little Old Lady Who Was Not Afraid of Anything
14522,4,Wild: From Lost to Found on the Pacific Crest Trail
36122,3,"Four Blind Mice (Alex Cross, #8)"
35997,4,"Magic Slays (Kate Daniels, #5)"
24720,5,"The Pillars of the Earth (The Kingsbridge Series, #1)"
13195,1,A Separate Peace
18380,4,1984
15159,4,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
47056,4,"New Moon (Twilight, #2)"
28007,4,The Giving Tree
19220,2,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
2502,3,Heir to the Empire (Star Wars: The Thrawn Trilogy #1)
14612,4,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
52252,3,Firestarter
15850,3,"Summer Knight (The Dresden Files, #4)"
51372,3,"The Eternity Code (Artemis Fowl, #3)"
20235,5,"Brown Bear, Brown Bear, What Do You See?"
29861,5,The Secret Garden
34686,5,The Goldfinch
31801,4,"The Bet (The Bet, #1)"
371,5,"The Lord of the Rings (The Lord of the Rings, #1-3)"
8332,3,Brave New World
32813,5,The Road
4415,4,"Twilight (Twilight, #1)"
33433,5,"This Man Confessed (This Man, #3)"
1821,5,Bonk: The Curious Coupling of Science and Sex
22915,4,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
50477,4,The Haunting of Hill House
36018,3,Feel the Fear and Do It Anyway
24165,3,"A Stroke of Midnight (Merry Gentry, #4)"
14140,4,"The Tombs of Atuan (Earthsea Cycle, #2)"
22761,4,"The Da Vinci Code (Robert Langdon, #2)"
16122,4,"The Girl with the Dragon Tattoo (Millennium, #1)"
47781,5,Sail
9592,4,Sophie's World
19476,3,"Fang (Maximum Ride, #6)"
7559,3,The War of the Worlds
11745,5,"Plum Lucky (Stephanie Plum, #13.5)"
31473,5,The Omnivore's Dilemma: A Natural History of Four Meals
45491,4,To Kill a Mockingbird
7376,4,"Bridget Jones's Diary (Bridget Jones, #1)"
8789,2,The Scarlet Letter
4127,5,The Memory Keeper's Daughter
33081,4,Next
47380,4,"Holes (Holes, #1)"
25359,4,The Copper Beech
40590,5,Candide
26834,4,"The Fallen and Leviathan (The Fallen, #1-2)"
3357,3,"World Without End (The Kingsbridge Series, #2)"
8179,4,Ready Player One
44172,3,"Shades of Earth (Across the Universe, #3)"
52495,3,"Divergent Series Complete Box Set (Divergent, #1-3)"
43315,4,"Perfect Shadow (Night Angel, #0.5)"
16703,5,"Darkfever (Fever, #1)"
32008,5,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
17656,3,Alice's Adventures in Wonderland & Through the Looking-Glass
47207,3,Boomerang: Travels in the New Third World
29790,4,"The Rithmatist (The Rithmatist, #1)"
3882,5,1984
37429,4,Tartuffe
33764,4,"Tripwire  (Jack Reacher, #3)"
28022,3,Prodigal Summer
35258,5,Divine Secrets of the Ya-Ya Sisterhood
52905,5,The Giving Tree
14240,3,Nightmares and Dreamscapes
45488,5,Dune (Dune Chronicles #1)
36368,4,Filth
14263,5,"Divergent (Divergent, #1)"
33501,4,"The Devil Wears Prada (The Devil Wears Prada, #1)"
19577,3,"Queen of Babble Gets Hitched (Queen of Babble, #3)"
46876,3,What Alice Forgot
