author,title,isbn,original_publication_year,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,average_rating,should_i_read
Diana Gabaldon,Drangonfly in Amber,440215625,1992.0,347569,2241,7552,42197,114917,180662,4.335582287258069,1
Caroline Peckham,The Awakening,914425022,2019.0,127605,3946,7343,28740,44885,42691,3.901469378159163,0
Jennifer L. Armentrout,From Blood and Ash,952457769,2020.0,492577,10670,19053,60622,150507,251725,4.245620481670886,1
Jon Krakauer,Under the Banner of Heaven: A Story of Violent Faith,330419129,2004.0,202595,3348,8245,39207,85127,66669,4.004600310965226,1
Georgia Hunter,We Were the Lucky Ones,399563083,2017.0,142715,1062,2124,12669,48620,78240,4.407364327505868,1
Hotel del Coronado Heritage Department,Beautiful Stranger: The Ghost Of Kate Morgan And The Hotel Del Coronado,91625173X,2002.0,74,2,0,26,33,13,3.7432432432432434,0
Gene Miller,83 Hours Till Dawn,385045980,1971.0,90,2,5,30,28,25,3.7666666666666666,0
Claudia Oshry,Girl With No Job: The Crazy Beautiful Life of an Instagram Thirst Monster,982142863,2021.0,16712,294,1179,4202,5277,5760,3.8993537577788415,0
Andrew E. Kaufman,"The Lion, The Lamb, The Hunted",611099749,2013.0,7659,202,537,2025,2895,2000,3.777386081733908,0
Micheal Connelly,The Lincoln Lawyer,455536482,2018.0,230669,1765,4824,34617,93393,96070,4.201630908357863,1
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience and Redemption",400064163,2010.0,916216,22580,25190,83479,238974,545993,4.3758873453421465,1
Jojo Moyes,Me Before You,143124544,2013.0,1568826,23214,48203,203876,519734,773799,4.257437727319664,1
Arthur C. Clarke,Childhood's End,345444051,1987.0,155967,1661,5521,27604,59043,62138,4.118672539703912,1
Justin Cronin,The Passage,345504968,2010.0,209027,5122,11260,34884,76214,81547,4.041989790792577,1
Chad Thumann,The Undesirables,503939967,2016.0,1087,13,45,231,431,367,4.006439742410303,1
Stacy Willingham,A Flicker in the Dark,250803829,2022.0,323492,2326,11288,66339,146996,96543,4.002009323259926,1
Miranda Cowley Heller,The Paper Palace,59332983X,2021.0,298331,6761,18641,72192,123025,77712,3.825546121589778,0
Simone St. James,The Book of Cold Cases,440000211,2022.0,104011,887,5558,29388,46821,21357,3.790329868956168,0
Casey McQuiston,"Red, White & Royal Blue",250316774,2019.0,893344,17887,43968,150061,295922,385506,4.10505247698535,1
Paul Hawkins,Into the Water,735211205,2017.0,378127,9434,34044,127285,137251,70113,3.593887767866352,0
Pierce Brown,Red Rising,34553980X,2014.0,382845,6504,13072,45962,124621,192686,4.263991954968721,1
Katee Robert,Neon Gods,728231736,2021.0,205319,6797,18752,54859,70528,54383,3.7157058041389255,0
Scarlett St. Clair,A Touch of Darkness,728258456,2020.0,256187,7478,19891,60292,89217,79309,3.8313770800235765,0
Stacey Marie Brown,Savage Lands,956600329,2020.0,27438,453,1074,4301,10214,11386,4.128945258400758,1
Rebecca Ross,A River Enchanted,063055988,2022.0,37728,224,1202,6308,16148,13846,4.118267599660729,1
Brandon Sanderson,The Final Empire,765311788,2006.0,638924,4751,9493,47921,191800,384959,4.475485347240047,1
Maggie Stiefvater,Shiver,545123267,2009.0,475684,23084,45475,112676,134952,159497,3.7616463870973167,0
Alex Aster,Lightlark,419760866,2022.0,48202,2809,4165,10576,15516,15136,3.7469607070246047,0
