isbn,original_publication_year,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
439023483,2008.0,eng,4.0,4780653,66715,127936,560092,1481305,2706317
439554934,1997.0,eng,4.0,4602479,75504,101676,455024,1156318,3011543
316015849,2005.0,en-US,4.0,3866839,456191,436802,793319,875073,1355439
61120081,1960.0,eng,4.0,3198671,60427,117415,446835,1001952,1714267
743273567,1925.0,eng,4.0,2683664,86236,197621,606158,936012,947718
525478817,2012.0,eng,4.0,2346404,47994,92723,327550,698471,1311871
618260307,1937.0,en-US,4.0,2071616,46023,76784,288649,665635,1119718
316769177,1951.0,eng,4.0,2044241,109383,185520,455042,661516,709176
679783261,1813.0,eng,4.0,2035490,54700,86485,284852,609755,1155673
1594480001,2003.0,eng,4.0,1813044,34288,59980,226062,628174,929591
62024035,2011.0,eng,4.0,1903563,36315,82870,310297,673028,1114304
451524934,1949.0,eng,4.0,1956832,41845,86425,324874,692021,908229
452284244,1945.0,eng,4.0,1881700,66854,135147,433432,698642,648912
553296981,1947.0,eng,4.0,1972666,45225,91270,355756,656870,875372
307269752,2005.0,eng,4.0,1808403,54835,86051,285413,667485,836050
439023491,2009.0,eng,4.0,1831039,10492,48030,262010,687238,980309
043965548X,1999.0,eng,5.0,1832823,6716,20413,166129,509447,1266670
618346252,1954.0,eng,4.0,1766803,38031,55862,202332,493922,1042394
439023513,2010.0,eng,4.0,1719760,30144,110498,373060,618271,738775
439358078,2003.0,eng,4.0,1735368,9528,31577,180210,494427,1124806
316166685,2002.0,eng,4.0,1605173,62777,131188,404699,583575,479323
439064864,1998.0,eng,4.0,1779331,8253,42251,242345,548266,1065084
439139600,2000.0,eng,5.0,1753043,6676,20210,151785,494926,1195045
545010225,2007.0,eng,5.0,1746574,9363,22245,113646,383914,1318227
307277674,2003.0,eng,4.0,1447148,71345,126493,340790,539277,479387
439785960,2005.0,eng,5.0,1678823,7308,21516,136333,459028,1161491
140283331,1954.0,eng,4.0,1605019,92779,160295,425648,564916,427846
743477111,1595.0,eng,4.0,1628519,57980,153179,452673,519822,489235
297859382,2012.0,eng,4.0,512475,38874,80807,280331,616031,610476
399155341,2009.0,eng,4.0,1531753,10235,25117,134887,490754,942552
142000671,1937.0,eng,4.0,1467496,46630,110856,355169,532291,473795
739326228,1997.0,eng,4.0,1300209,23500,59033,258700,517157,559782
1612130291,2011.0,eng,4.0,1338493,165455,152293,252185,294976,571909
61122416,1988.0,eng,4.0,1299566,74846,123614,289143,412180,504212
385732554,1993.0,eng,4.0,1296825,26497,59652,225326,448691,585279
60764899,1950.0,eng,4.0,1531800,19309,55542,262038,513366,734629
965818675,2003.0,eng,4.0,746287,44339,85429,257805,427210,493884
553588486,1996.0,eng,4.0,1319204,19988,28983,114092,404583,874574
143038419,2006.0,eng,4.0,1181647,100373,149549,310212,332191,314272
786838655,2005.0,eng,4.0,1366265,18303,48294,219638,435514,689365
451529308,1868.0,en-US,4.0,1257121,31645,70011,250794,426280,535563
142437204,1847.0,eng,4.0,1198557,35132,64274,212294,400214,574221
553816713,1996.0,eng,4.0,1053403,41395,63432,176469,298259,497194
1565125606,2006.0,eng,4.0,1068146,16705,49832,200154,417328,424820
375831002,2005.0,eng,4.0,1159741,17892,35360,135272,377218,722056
316160199,2006.0,eng,4.0,1149630,102837,160660,294207,290612,350684
60513039,1974.0,eng,4.0,1016888,16590,30792,139024,293222,544153
1416914285,2007.0,eng,4.0,1154031,34122,65349,203466,356048,582814
316160202,2007.0,en-US,4.0,1134511,83094,124293,260763,309358,399134
375826696,2002.0,en-US,4.0,1104021,50563,88536,240157,337943,408032
345391802,1979.0,en-US,4.0,936782,21764,41962,145173,299579,498001
60929871,1932.0,eng,4.0,1022601,26367,60328,219895,389379,383166
031606792X,2008.0,en-US,4.0,1070245,100994,114893,213402,267706,410714
142001740,2001.0,en-US,4.0,916189,17500,45455,185631,347540,341267
142437174,1884.0,eng,4.0,953758,28467,76630,255722,344356,296316
64410935,1952.0,eng,4.0,1064521,18450,41124,191415,346090,487763
1400032717,2003.0,eng,4.0,867553,21049,58117,218218,355925,262481
1594633665,2015.0,eng,4.0,1008778,27773,73897,273817,488447,362551
679879242,1995.0,eng,4.0,953970,38382,64591,198764,313147,380030
393978893,1847.0,eng,4.0,899195,46469,84084,215320,309180,346082
743454537,2004.0,eng,4.0,863879,17547,42763,162573,314003,350994
385333846,1969.0,eng,4.0,846488,24964,45518,152442,300948,367890
446675539,1936.0,eng,4.0,873981,19996,33136,116160,234290,493721
1594489505,2007.0,eng,4.0,818742,6509,18015,99030,295817,446694
671027344,1999.0,eng,4.0,888806,14286,38658,143440,297501,461020
7442912,2012.0,eng,4.0,836362,10641,44620,182131,339977,369969
812550706,1985.0,eng,4.0,813439,15330,27612,103439,264207,462829
141439475,1818.0,eng,4.0,808589,29366,74142,231022,300495,248538
450040186,1977.0,eng,4.0,791850,18487,28981,123862,277393,382158
316068047,2008.0,en-US,4.0,749780,44215,62501,154906,227180,288758
142402516,2005.0,eng,4.0,783470,16940,44232,147324,262932,359857
014028009X,1996.0,eng,4.0,736498,28973,59309,198555,254836,212825
141439661,1811.0,eng,4.0,738894,18430,34699,141987,272512,311754
439244196,1998.0,eng,4.0,747445,15495,43786,176946,269153,259257
307275558,2003.0,eng,4.0,665930,24231,58323,192366,226675,178250
143039954,-720.0,eng,4.0,670326,29703,65629,183082,224120,208223
156012197,1946.0,eng,4.0,738757,15039,32866,114714,228440,468227
074324754X,2005.0,eng,4.0,621099,7901,18922,85191,227750,298102
385486804,1996.0,eng,4.0,647684,19229,35567,135199,248287,227095
141439602,1859.0,eng,4.0,637412,28904,55555,153305,216378,223571
60256656,1964.0,eng,4.0,702332,15345,20408,76071,167542,428921
385338600,1989.0,eng,4.0,597775,12106,25938,122675,218617,229488
374500010,1958.0,eng,4.0,691231,7761,18539,90575,230227,360777
014241493X,2008.0,en-US,4.0,461311,14105,47183,154479,223895,215609
345418263,1973.0,en-US,4.0,628637,12883,21641,89236,196047,338235
014038572X,1967.0,en-US,4.0,659248,10178,34346,134244,227250,274419
385737947,2009.0,eng,4.0,719925,15291,43370,150488,266698,302109
61234001,2005.0,en-US,4.0,524191,14586,26538,115789,216316,176072
517189607,1911.0,eng,4.0,639357,8005,25207,129646,243821,285570
60531045,1967.0,eng,4.0,490565,27340,37646,87675,155809,267197
375751513,1891.0,eng,4.0,590014,9825,30735,129420,246892,257679
345803507,2012.0,eng,4.0,387290,39079,55691,109963,140304,265079
393970124,1897.0,eng,4.0,618973,11756,36719,151396,246043,243825
307269981,2006.0,eng,4.0,563994,4623,15781,91021,258236,279592
1612130585,2011.0,eng,4.0,552059,37245,58935,114203,150906,262051
60786507,1998.0,eng,4.0,546502,21699,33702,92590,175725,239071
349113912,2000.0,eng,4.0,495736,19718,29034,93427,178021,194076
99408392,1963.0,eng,4.0,620618,15392,27532,93700,167043,332394
140449264,1844.0,eng,4.0,555822,10381,22482,89980,183142,295235
307265439,2006.0,eng,4.0,504793,20086,36561,100989,190823,207328
7524277,2013.0,eng,4.0,463257,31626,78366,176061,192785,184388
446693804,1999.0,en-US,4.0,546948,10640,24094,94327,169650,260870
440241413,2000.0,eng,4.0,543658,30705,56949,156636,166927,146787
451525264,1862.0,eng,4.0,513407,15225,25914,87461,167385,264147
553381695,1998.0,eng,4.0,523303,1788,7104,56167,221706,320000
143037145,2005.0,eng,4.0,501430,19453,47004,145437,183150,115538
670026603,2012.0,eng,4.0,587647,10346,21880,91517,249474,367916
684833395,1961.0,en-US,4.0,563265,20639,37912,106269,186745,230950
751529818,1997.0,eng,4.0,556518,11507,30534,107446,194448,240462
312422156,2002.0,en-US,4.0,488243,19329,30503,89740,171099,197327
143039563,1876.0,eng,4.0,555359,12130,34349,143659,217896,186192
440498058,1962.0,en-US,4.0,615907,17313,34988,119115,209745,268933
143038095,1989.0,eng,4.0,515090,14802,30197,116748,195930,167566
038549081X,1985.0,eng,4.0,607889,13998,32561,116975,252942,267088
385729332,2001.0,eng,4.0,525706,14996,42396,152024,177404,149784
60987103,1995.0,eng,4.0,506900,40802,65835,132061,153583,133217
582418275,1991.0,eng,4.0,488269,5075,20119,111543,190966,160652
316098337,2010.0,eng,4.0,511360,11020,26079,99831,217995,201402
521618746,1600.0,eng,4.0,515820,10413,32697,121040,192937,219807
340839937,1965.0,eng,4.0,485032,13354,22778,74206,154771,260867
316346624,2000.0,eng,4.0,490504,15111,25871,106453,189120,162511
1451648537,2011.0,eng,4.0,560715,19680,21986,88456,203975,245159
451163966,1962.0,eng,4.0,491642,5672,15978,78714,191622,222472
684830493,1952.0,eng,4.0,520630,28645,52583,136217,186747,170136
142000663,1939.0,eng,4.0,322321,23552,40261,103475,173589,212475
451528824,1908.0,eng,4.0,502247,8864,19531,80256,158725,265976
1416914307,2009.0,en-US,4.0,593173,6646,17351,79202,179290,348071
055357342X,2000.0,eng,5.0,469022,1456,4820,36418,149268,335682
006075995X,1996.0,en-US,4.0,465676,15795,35314,120396,158451,140552
440242940,1991.0,eng,4.0,515547,20998,27673,73126,147085,309960
142437263,1850.0,eng,3.0,509883,34813,80444,182701,165079,96209
1594744769,2011.0,en-US,4.0,613674,14920,45434,159227,234792,217849
030726999X,2007.0,en-US,4.0,443951,3823,14773,78387,203297,226511
804139024,2012.0,eng,4.0,423344,4114,10856,49200,173861,291671
451207149,1989.0,eng,4.0,462517,9248,16886,57825,148052,263882
1476746583,2014.0,eng,4.0,470001,6209,14527,61020,185239,280832
1400064163,2010.0,eng,4.0,487775,10308,12874,47828,144203,313339
671027387,2001.0,eng,4.0,455610,14380,45006,143182,160819,116346
316055433,2013.0,eng,4.0,396756,19164,35300,93459,153459,162465
1595141715,2007.0,eng,4.0,463783,15246,35668,105414,179197,235756
452287022,1999.0,eng,4.0,467577,11525,28287,123463,189656,139246
525421033,2009.0,en-US,4.0,503527,12666,34896,122977,190793,205755
312353766,1997.0,en-US,4.0,424981,9470,19616,67878,146178,206075
786856866,2006.0,eng,4.0,514932,2967,13884,91127,188988,253546
446528056,2006.0,en-US,4.0,441062,9683,25220,94711,145202,179965
1416914293,2008.0,eng,4.0,541117,6135,20075,92626,192934,274238
743477103,1606.0,eng,4.0,496018,10551,35408,127354,183871,167642
618346260,1954.0,en-US,4.0,480446,3013,10264,55433,156232,307267
031232118X,2004.0,eng,4.0,403601,16019,29297,104322,148507,137044
394800168,1960.0,en-US,4.0,457475,6605,14530,66873,121751,251282
142403881,1964.0,eng,4.0,453959,6236,17193,94240,178216,198862
1423101464,2008.0,eng,4.0,508214,2435,8093,62108,172289,292783
192833596,1860.0,eng,4.0,459247,22811,44293,120385,170702,148996
345339738,1955.0,en-US,5.0,463959,2691,8008,42693,132149,324996
142311339X,2010.0,eng,4.0,271576,5020,11267,58590,148498,266120
1250012570,2013.0,eng,4.0,514312,12904,26371,94470,196224,249784
055358202X,2005.0,en-US,4.0,428186,3170,18574,94401,175973,189012
525423648,2010.0,eng,4.0,511815,24343,53804,138030,165412,149091
747263744,2001.0,eng,4.0,378019,9888,24944,83253,178346,221912
385199570,1978.0,en-US,4.0,438832,5647,13612,56722,134098,259874
141439580,1815.0,eng,4.0,459826,11386,25777,102144,178238,180404
345803922,1877.0,eng,4.0,297472,11738,26945,88365,158179,187569
393312836,1962.0,eng,4.0,431195,14741,24244,84863,163488,167055
964729237,2007.0,eng,4.0,419539,35734,42977,84751,111923,162907
739380338,2009.0,eng,4.0,397500,2098,6501,45208,133168,312535
451169514,1986.0,en-US,4.0,292592,8464,19610,75841,148672,226794
143058142,1866.0,eng,4.0,380903,9477,20078,64050,137104,213966
61148512,1963.0,en-US,4.0,401605,8266,23983,92408,162216,155284
7205236,1996.0,eng,4.0,392103,7657,18327,73550,155775,164437
553208845,1922.0,eng,4.0,372099,10229,25529,83698,138837,160360
679745580,1965.0,eng,4.0,381652,10639,17836,70857,144616,157891
316042676,2009.0,eng,4.0,436093,19917,43525,113352,132492,149232
1416975861,2010.0,eng,4.0,490890,8364,15544,61409,140928,289514
141301066,1988.0,eng,4.0,440743,4277,10823,64536,152003,231852
385534639,2011.0,eng,4.0,429543,11349,28650,84254,159596,190977
743227441,2001.0,eng,4.0,381080,5311,16716,78620,153807,144769
689865384,2005.0,eng,4.0,449073,15531,34808,106086,151540,156624
618640150,1955.0,eng,4.0,389054,4807,9577,37552,106818,277592
307592731,2012.0,eng,4.0,379872,8344,22137,85489,165482,139451
930289234,1987.0,en-US,4.0,398018,6349,11732,44847,116877,229518
075640407X,2007.0,eng,5.0,400101,5605,8582,28480,95470,311235
316017922,2008.0,en-US,4.0,353011,4494,12545,62510,148978,140599
142437247,1851.0,eng,3.0,358050,35983,52601,103625,102432,103322
385340990,2008.0,eng,4.0,393626,7190,17250,68942,155107,175183
393327345,1996.0,eng,4.0,365349,4578,12632,58110,139554,173780
441008534,2001.0,en-US,4.0,420764,11330,25781,96290,148326,163097
671727796,1982.0,eng,4.0,376766,6298,14477,62380,140835,176975
739461192,2005.0,eng,4.0,367304,5485,14940,68532,131536,158855
312330871,1939.0,eng,4.0,408983,6134,12476,66243,156306,215521
385504225,2009.0,eng,4.0,369428,11293,40545,120122,136545,96477
1416989412,2009.0,en-US,4.0,448166,19338,33543,82544,120204,206173
345476875,1976.0,eng,4.0,372566,7519,22377,84804,137659,141582
62059939,2012.0,en-US,4.0,505340,13841,25349,83692,158716,257493
312362080,1994.0,en-US,4.0,391007,9176,19657,80319,133454,160709
1400052173,2010.0,eng,4.0,377249,10782,18237,70339,151226,153856
99446782,1988.0,eng,4.0,351107,10268,12845,55427,123652,163920
159514174X,2007.0,en-US,4.0,248283,12535,22043,73357,129382,217834
316010669,2005.0,en-US,4.0,348196,6804,20128,85934,139947,107525
038572179X,2001.0,eng,4.0,347006,11473,25462,77135,134788,116800
553213695,1915.0,eng,4.0,364933,15430,33226,98774,146297,120806
141382899,2007.0,eng,4.0,446668,1863,7934,65220,162371,248874
030788743X,2011.0,eng,4.0,349423,5150,12928,48285,134107,221349
1554681723,2006.0,eng,4.0,327409,4808,13901,53780,118166,163664
739303406,2003.0,eng,4.0,309385,6687,18709,69012,135360,120839
